"ID","Ang","Mag","MW","MVAr","SETelemMag","SESigmaMag","SETelemMW","SESigmaMW","SETelemMVAr","SESigmaMVAr"
"1001",-55.11653,113.69306,-19.614,-5.5594,false,0.1,true,1.0,true,1.0
"1002",-55.563488,118.01774,-14.192,-4.0245,false,0.1,true,1.0,true,1.0
"1003",-35.687813,116.42722,0.0,0.0,false,0.1,false,0.0,false,0.0
"1004",-37.35439,234.54881,134.7486,-15.118599,true,0.1,true,1.0,true,1.0
"1005",-40.91201,114.38532,0.0,0.0,false,0.1,false,0.0,false,0.0
"1006",-38.51932,13.8121195,28.409603,3.6624908,true,0.1,true,1.0,true,1.0
"1007",-54.325996,118.123695,-6.8419003,-1.9423001,false,0.1,true,1.0,true,1.0
"1008",-49.020817,117.736176,0.0,0.0,false,0.1,false,0.0,false,0.0
"1009",-47.89896,14.075799,21.351217,-4.914856,true,0.1,true,1.0,true,1.0
"1010",-54.88351,118.672676,0.0,0.0,false,0.1,false,0.0,false,0.0
"1011",-54.431576,22.705872,2.5880265,0.0,false,0.1,true,1.0,true,1.0
"1012",-56.42733,115.97066,-2.9246,-0.83141,false,0.1,true,1.0,true,1.0
"1013",-47.68624,114.90266,-27.588999,-7.8152,false,0.1,true,1.0,true,1.0
"1014",-47.42117,115.785065,-2.0848,-0.59164,false,0.1,true,1.0,true,1.0
"1015",-55.279446,118.72463,-6.8617,-1.9461,false,0.1,true,1.0,true,1.0
"1016",-44.453873,115.11144,-2.7278,-0.77397,false,0.1,true,1.0,true,1.0
"1017",-52.71588,112.85197,-17.31,-4.9081,false,0.1,true,1.0,true,1.0
"1018",-51.193962,113.4144,-0.067189,-0.019197,false,0.1,true,1.0,true,1.0
"1019",-54.18904,115.407845,-59.082,-16.736,false,0.1,true,1.0,true,1.0
"1020",-38.38044,114.7376,0.0,0.0,false,0.1,false,0.0,false,0.0
"1021",-30.959318,13.799966,165.23955,6.698704,true,0.1,true,1.0,true,1.0
"1022",-34.517994,116.87498,0.0,0.0,false,0.1,false,0.0,false,0.0
"1023",-24.707773,13.938,149.08827,0.56762695,true,0.1,true,1.0,true,1.0
"1024",-49.97714,113.310585,-59.816,-16.947,false,0.1,true,1.0,true,1.0
"1025",-37.664158,114.93022,0.0,0.0,false,0.1,false,0.0,false,0.0
"1026",-26.977583,13.800014,102.87094,7.5475693,true,0.1,true,1.0,true,1.0
"1027",-54.455452,112.30148,-97.271,-27.563997,false,0.1,true,1.0,true,1.0
"1028",-35.728886,117.52486,-9.3606,-2.6558,false,0.1,true,1.0,true,1.0
"1029",-53.622147,113.96078,-79.84,-22.624,false,0.1,true,1.0,true,1.0
"1030",-52.795773,117.0445,-21.768,-6.169,false,0.1,true,1.0,true,1.0
"1031",-51.670135,116.370125,-8.1753,-2.3156,false,0.1,true,1.0,true,1.0
"1032",-49.199226,116.25889,0.0,0.0,false,0.1,false,0.0,false,0.0
"1033",-49.722668,231.34962,71.94713,-15.336132,true,0.1,true,1.0,true,1.0
"1034",-41.019955,114.553375,0.0,0.0,false,0.1,false,0.0,false,0.0
"1035",-37.382454,13.799997,74.544136,3.0899048,true,0.1,true,1.0,true,1.0
"1036",-49.194115,115.34235,-12.837,-3.6339,false,0.1,true,1.0,true,1.0
"1037",-54.392918,112.59423,-96.501,-27.344,false,0.1,true,1.0,true,1.0
"1038",-48.741394,116.989265,0.0,0.0,false,0.1,false,0.0,false,0.0
"1039",-46.87881,22.054905,38.173386,-17.539024,true,0.1,true,1.0,true,1.0
"1040",-51.504852,113.61058,-41.282,-11.698,false,0.1,true,1.0,true,1.0
"1041",-41.35173,114.012085,0.0,0.0,false,0.1,false,0.0,false,0.0
"1042",-41.35173,13.68145,0.0,0.0,false,0.1,false,0.0,false,0.0
"1043",-37.746548,13.800027,48.70218,7.0798397,true,0.1,true,1.0,true,1.0
"1044",-48.956,113.54772,-12.961,-3.6729,false,0.1,true,1.0,true,1.0
"1045",-55.87608,112.49778,-97.32,-27.579,false,0.1,true,1.0,true,1.0
"1046",-54.30962,116.45967,-10.952,-3.1036,false,0.1,true,1.0,true,1.0
"1047",-45.395798,115.14334,0.0,0.0,false,0.1,false,0.0,false,0.0
"1048",-45.395798,18.022436,0.0,0.0,false,0.1,false,0.0,false,0.0
"1049",-45.395798,18.022436,0.0,0.0,false,0.1,false,0.0,false,0.0
"1050",-40.303375,17.999998,89.39772,0.0,true,0.1,true,1.0,true,1.0
"1051",-38.818714,17.999998,89.39772,0.26245117,true,0.1,true,1.0,true,1.0
"1052",-41.16174,17.99998,89.39772,-2.1849632,true,0.1,true,1.0,true,1.0
"1053",-48.277122,231.2103,0.0,0.0,false,0.1,false,0.0,false,0.0
"1054",-47.495102,112.76359,-14.243001,-4.0383,false,0.1,true,1.0,true,1.0
"1055",-37.329807,115.04106,-3.7818,-1.0737,false,0.1,true,1.0,true,1.0
"1056",-48.671844,114.75455,0.0,0.0,false,0.1,false,0.0,false,0.0
"1057",-48.671844,17.96158,0.0,0.0,false,0.1,false,0.0,false,0.0
"1058",-50.429565,117.858536,-12.7039995,-3.5961003,false,0.1,true,1.0,true,1.0
"1059",-50.429565,22.54685,0.0,0.0,false,0.1,false,0.0,false,0.0
"1060",-50.429565,22.546852,0.0,0.0,false,0.1,false,0.0,false,0.0
"1061",-41.903233,114.20711,0.0,0.0,false,0.1,false,0.0,false,0.0
"1062",-41.903233,13.704853,0.0,0.0,false,0.1,false,0.0,false,0.0
"1063",-41.903233,13.704852,0.0,0.0,false,0.1,false,0.0,false,0.0
"1064",-56.16794,112.59239,-116.81,-33.101,false,0.1,true,1.0,true,1.0
"1065",-41.387787,114.274635,0.0,0.0,false,0.1,false,0.0,false,0.0
"1066",-34.71162,13.80003,94.08493,6.7139635,true,0.1,true,1.0,true,1.0
"1067",-41.57437,113.75619,-97.138,-27.52,false,0.1,true,1.0,true,1.0
"1068",-48.90403,112.633736,-56.066,-15.885,false,0.1,true,1.0,true,1.0
"1069",-49.371082,118.15317,0.0,0.0,false,0.1,false,0.0,false,0.0
"1070",-47.839622,14.352082,41.537827,17.483616,true,0.1,true,1.0,true,1.0
"1071",-54.155487,114.724144,-87.466,-24.779,false,0.1,true,1.0,true,1.0
"1072",-51.384304,18.180193,57.740128,12.463569,true,0.1,true,1.0,true,1.0
"1073",-49.496105,18.180193,57.740128,9.10778,true,0.1,true,1.0,true,1.0
"1074",-50.094162,18.18019,57.740128,9.4304085,true,0.1,true,1.0,true,1.0
"1075",-50.906765,18.180193,57.740128,12.038803,true,0.1,true,1.0,true,1.0
"1076",-54.155487,17.956821,0.0,0.0,false,0.1,false,0.0,false,0.0
"1077",-54.155487,17.956821,0.0,0.0,false,0.1,false,0.0,false,0.0
"1078",-51.058784,18.18012,28.699774,6.533766,true,0.1,true,1.0,true,1.0
"1079",-59.133236,507.1214,70.115845,-10.6,true,0.1,true,1.0,true,1.0
"1080",-50.892086,18.180079,28.699774,5.294895,true,0.1,true,1.0,true,1.0
"1081",-49.25873,231.15956,0.0,0.0,false,0.1,false,0.0,false,0.0
"1082",-48.31852,118.17357,38.820396,11.898518,true,0.1,true,1.0,true,1.0
"1083",-49.61894,116.50058,-36.792,-10.425,false,0.1,true,1.0,true,1.0
"1084",-41.179802,114.969345,95.66498,14.87112,true,0.1,true,1.0,true,1.0
"1085",-46.93096,115.001945,-20.003,-5.6628,false,0.1,true,1.0,true,1.0
"1086",-49.19479,114.75694,-37.254,-10.556,false,0.1,true,1.0,true,1.0
"1087",-52.314644,117.50181,-0.85459,-0.24416998,false,0.1,true,1.0,true,1.0
"1088",-48.343143,115.0,19.410198,4.2015076,true,0.1,true,1.0,true,1.0
"1089",-42.5859,111.49531,-38.472,-10.897,false,0.1,true,1.0,true,1.0
