"ID","Name","WindingCount"
"tx2-355-1-1","BUS_355-BUS_1",2
"tx2-354-2-1","BUS_354-BUS_2",2
"tx2-219-3-1","BUS_219-BUS_3",2
"tx2-220-3-1","BUS_220-BUS_3",2
"tx2-245-4-1","BUS_245-BUS_4",2
"tx2-246-4-1","BUS_246-BUS_4",2
"tx2-5-6-1","BUS_5-BUS_6",2
"tx2-309-5-1","BUS_309-BUS_5",2
"tx2-309-5-2","BUS_309-BUS_5",2
"tx2-310-6-1","BUS_310-BUS_6",2
"tx2-321-7-1","BUS_321-BUS_7",2
"tx2-322-7-1","BUS_322-BUS_7",2
"tx2-332-9-1","BUS_332-BUS_9",2
"tx2-346-10-1","BUS_346-BUS_10",2
"tx2-347-10-1","BUS_347-BUS_10",2
"tx2-352-11-1","BUS_352-BUS_11",2
"tx2-353-11-1","BUS_353-BUS_11",2
"tx2-359-12-1","BUS_359-BUS_12",2
"tx2-360-12-1","BUS_360-BUS_12",2
"tx2-365-13-1","BUS_365-BUS_13",2
"tx2-366-13-1","BUS_366-BUS_13",2
"tx2-367-14-1","BUS_367-BUS_14",2
"tx2-368-14-1","BUS_368-BUS_14",2
"tx2-374-15-1","BUS_374-BUS_15",2
"tx2-16-18-1","BUS_16-BUS_18",2
"tx2-17-18-1","BUS_17-BUS_18",2
"tx2-425-19-1","BUS_425-BUS_19",2
"tx2-447-20-1","BUS_447-BUS_20",2
"tx2-448-20-1","BUS_448-BUS_20",2
"tx2-502-21-1","BUS_502-BUS_21",2
"tx2-526-22-1","BUS_526-BUS_22",2
"tx2-527-22-1","BUS_527-BUS_22",2
"tx2-540-23-1","BUS_540-BUS_23",2
"tx2-545-24-1","BUS_545-BUS_24",2
"tx2-564-25-1","BUS_564-BUS_25",2
"tx2-568-26-1","BUS_568-BUS_26",2
"tx2-29-32-1","BUS_29-BUS_32",2
"tx2-613-29-1","BUS_613-BUS_29",2
"tx2-615-33-1","BUS_615-BUS_33",2
"tx2-617-35-1","BUS_617-BUS_35",2
"tx2-644-36-1","BUS_644-BUS_36",2
"tx2-645-36-1","BUS_645-BUS_36",2
"tx2-663-37-1","BUS_663-BUS_37",2
"tx2-682-39-1","BUS_682-BUS_39",2
"tx2-679-40-1","BUS_679-BUS_40",2
