"ID","Name","Node"
"load-10-1","BUS_10-1","10"
"load-16-1","BUS_16-1","16"
"load-17-1","BUS_17-1","17"
"load-18-1","BUS_18-1","18"
"load-29-1","BUS_29-1","29"
"load-30-1","BUS_30-1","30"
"load-31-1","BUS_31-1","31"
"load-41-1","BUS_41-1","41"
"load-42-1","BUS_42-1","42"
"load-43-1","BUS_43-1","43"
"load-44-1","BUS_44-1","44"
"load-45-1","BUS_45-1","45"
"load-57-1","BUS_57-1","57"
"load-58-1","BUS_58-1","58"
"load-63-1","BUS_63-1","63"
"load-64-1","BUS_64-1","64"
"load-65-1","BUS_65-1","65"
"load-67-1","BUS_67-1","67"
"load-83-1","BUS_83-1","83"
"load-84-1","BUS_84-1","84"
"load-85-1","BUS_85-1","85"
"load-86-1","BUS_86-1","86"
"load-87-1","BUS_87-1","87"
"load-93-1","BUS_93-1","93"
"load-95-1","BUS_95-1","95"
"load-97-1","BUS_97-1","97"
"load-103-1","BUS_103-1","103"
"load-104-1","BUS_104-1","104"
"load-105-1","BUS_105-1","105"
"load-109-1","BUS_109-1","109"
"load-110-1","BUS_110-1","110"
"load-111-1","BUS_111-1","111"
"load-123-1","BUS_123-1","123"
"load-124-1","BUS_124-1","124"
"load-125-1","BUS_125-1","125"
"load-126-1","BUS_126-1","126"
"load-127-1","BUS_127-1","127"
"load-131-1","BUS_131-1","131"
"load-132-1","BUS_132-1","132"
"load-139-1","BUS_139-1","139"
"load-140-1","BUS_140-1","140"
"load-176-1","BUS_176-1","176"
"load-177-1","BUS_177-1","177"
"load-180-1","BUS_180-1","180"
"load-183-1","BUS_183-1","183"
"load-184-1","BUS_184-1","184"
"load-185-1","BUS_185-1","185"
"load-186-1","BUS_186-1","186"
"load-187-1","BUS_187-1","187"
"load-188-1","BUS_188-1","188"
"load-189-1","BUS_189-1","189"
"load-190-1","BUS_190-1","190"
"load-191-1","BUS_191-1","191"
"load-192-1","BUS_192-1","192"
"load-193-1","BUS_193-1","193"
"load-195-1","BUS_195-1","195"
"load-196-1","BUS_196-1","196"
"load-197-1","BUS_197-1","197"
"load-198-1","BUS_198-1","198"
"load-199-1","BUS_199-1","199"
"load-200-1","BUS_200-1","200"
"load-201-1","BUS_201-1","201"
"load-202-1","BUS_202-1","202"
"load-203-1","BUS_203-1","203"
"load-205-1","BUS_205-1","205"
"load-206-1","BUS_206-1","206"
"load-207-1","BUS_207-1","207"
"load-208-1","BUS_208-1","208"
"load-209-1","BUS_209-1","209"
"load-210-1","BUS_210-1","210"
"load-211-1","BUS_211-1","211"
"load-212-1","BUS_212-1","212"
"load-213-1","BUS_213-1","213"
"load-214-1","BUS_214-1","214"
"load-215-1","BUS_215-1","215"
"load-216-1","BUS_216-1","216"
"load-217-1","BUS_217-1","217"
"load-218-1","BUS_218-1","218"
